timestamp,timestamp_ms,event_date,hour_of_day,day_of_week,src_ip,dst_ip,reliability,severity,classtype,attack_status,dns_query,dns_qtype_name
2025-07-07 08:57:45.015,1751878665015,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:43.692,1751878663692,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:57:39.685,1751878659685,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:39.685,1751878659685,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:57:39.684,1751878659684,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:37.680,1751878657680,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:36.665,1751878656665,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:36.665,1751878656665,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:57:36.664,1751878656664,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:57:35.665,1751878655665,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:57:35.665,1751878655665,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:57:30.670,1751878650670,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:57:29.683,1751878649683,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:57:29.683,1751878649683,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:57:29.683,1751878649683,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:57:29.540,1751878649540,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:57:16.100,1751878636100,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
